EpisodeNumber,IterationTime,AverageIterationTime,CumulativeIterationTime,Reward,AverageReward,CheckpointCount,Velocity,AverageVelocity,TimedOut
2818,100.375168,98.20166628909442,276732.2956026681,88.59586,71.88792799385581,28,13.2996235,8.359497703396029,False
2819,240.01445,98.25197234929695,276972.3100526681,233.3043,71.94518814710382,73,13.5877037,8.361352334824408,True
2820,148.774963,98.26988830342839,277121.08501566807,139.6922,71.96921191017222,44,13.7629128,8.363267781797875,False
2821,123.851227,98.27895648446227,277244.9362426681,114.047562,71.9841280215121,36,13.6322088,8.365135538273666,False
2822,223.690964,98.32339730923745,277468.6272066681,215.896027,72.03512444212816,68,13.9080429,8.367099715226793,False
2823,101.275017,98.32444287058733,277569.90222366806,87.17535,72.04048761094073,27,13.1037712,8.368777600981229,False
2824,172.38,98.35066650979748,277742.28222366807,165.03978,72.07341937170172,52,13.9290771,8.370746545563035,False
2825,148.4949,98.36841668094445,277890.77712366806,140.057922,72.09748468236661,44,13.8457317,8.372684593405314,False
2826,203.646683,98.40567013682522,278094.4238066681,188.8313,72.13879176492769,59,13.4867382,8.374494237285921,False
2827,240.01445,98.45576167551047,278334.4382566681,234.073288,72.1960731572995,73,13.6531506,8.376361466278745,True
2828,240.01445,98.5058177887794,278574.4527066681,114.079765,72.21088351509394,36,7.04907274,8.375892127973836,True
2829,1.619999,98.47157041557728,278576.0727056681,-3.53093886,72.18411015971215,1,6.48454571,8.375223571445742,False
2830,240.01445,98.52158556737389,278816.0871556681,241.214951,72.2438383720232,74,14.1731606,8.377272312445232,True
2831,231.592651,98.56859053573584,279047.67980666814,225.912231,72.29811897697834,73,13.8661718,8.379211167792302,False
2832,240.01445,98.61853610758057,279287.69425666815,36.3182678,72.28541422726896,12,2.61825633,8.377176932326979,True
2833,240.01445,98.66844641957931,279527.70870666817,247.079666,72.3471135748767,76,14.5022507,8.379338977426759,True
2834,203.666687,98.70549590461121,279731.3753936682,189.2995,72.38838117770842,59,13.5030718,8.38114692831687,False
2835,240.01445,98.75534033286357,279971.3898436682,220.3192,72.44056136071453,68,12.9543915,8.382760065731924,True
2836,53.1410255,98.73925630083507,280024.53086916823,47.6409378,72.43181678259015,17,13.6547661,8.384619024136109,False
2837,176.740936,98.76675072441601,280201.27180516825,165.1246,72.46448960007955,52,13.6062365,8.38645956607332,False
2838,50.20096,98.74963804269494,280251.47276516823,36.168808,72.45170042404006,11,12.25464,8.387822561293167,False
2839,240.01445,98.7993966943178,280491.48721516825,88.0767441,72.45720413790971,28,5.57948971,8.386833363388519,True
2840,4.49999666,98.76619268022121,280495.98721182824,-2.766395,72.43071695511466,1,5.98170376,8.385986486767607,False
2841,101.654953,98.76720949131582,280597.64216482826,87.3099442,72.43595427551061,27,13.1015368,8.387646307363607,False
2842,106.294174,98.76985796580867,280703.93633882824,90.51297,72.44231494254949,29,12.7624941,8.389185662674175,False
2843,240.01445,98.81953949659805,280943.95078882825,65.18389,72.43976185604139,20,4.058739,8.387662466521283,True
2844,6.51999474,98.78708536693681,280950.4707835683,-2.37244034,72.41345658100761,1,5.43901253,8.386625669778484,False
2845,59.6811752,98.77333988005914,281010.15195876826,40.2018738,72.40213440779812,13,11.0950794,8.387577674604572,False
2846,51.66099,98.75678599745898,281061.81294876826,38.322834,72.39015995227886,12,12.3733873,8.388978169905132,False
2847,240.01445,98.80640231779708,281301.8273987683,114.204346,72.40484705661596,36,7.05020475,8.38850792985599,True
2848,2.05999875,98.77243237272411,281303.88739751827,-3.260611,72.37827912892755,1,7.74357367,8.388281478219804,False
2849,3.21999764,98.73889343459399,281307.10739515827,-2.96352935,72.35183412770644,1,6.86823463,8.387747941242543,False
2850,200.866089,98.77472753830115,281507.9734841583,190.314575,72.39322456310022,60,13.7208738,8.389619213473686,False
2851,240.01445,98.82426795305447,281747.9879341583,233.059372,72.44957887647689,73,13.5617056,8.391433344089796,True
2852,153.415955,98.84340949830234,281901.4038891583,139.624512,72.47313249959174,44,13.3409033,8.393168782363256,False
2853,175.840744,98.87039769826788,282077.24463315826,165.021332,72.50557140583092,52,13.6546917,8.395012989484755,False
2854,77.8789444,98.8630425990043,282155.12357755826,46.6330338,72.49650604577282,12,10.4283409,8.395725437946744,False
2855,240.01445,98.91248267164913,282395.1380275583,234.491318,72.5532467855116,73,13.6792221,8.397576049737307,True
2856,240.01445,98.96188812239436,282635.1524775583,207.606918,72.60053448551668,65,12.1129694,8.398876957773112,True
2857,48.90093,98.94436591094095,282684.0534075583,38.12292,72.58846671705832,12,12.9403591,8.400466556002804,False
2858,102.5748,98.94563618179087,282786.6282075583,92.55285,72.5954521555758,30,13.4222937,8.402223668369492,False
2859,240.01445,98.9949781943191,283026.6426575583,85.60364,72.60000206388094,27,5.55045748,8.401226198558941,True
2860,4.299997,98.96186806103438,283030.94265455834,-0.9650016,72.57428003462783,1,14.6117411,8.40339770726574,False
2861,227.891861,99.0069327212717,283258.8345155583,216.225235,72.62449008529731,68,13.70986,8.405252465145058,False
2862,146.314438,99.02346224792393,283405.1489535583,133.204926,72.64565725368121,42,13.3740559,8.406988594926629,False
2863,74.99943,99.01507103861626,283480.1483835583,63.0626526,72.64231006379168,20,13.036644,8.408605659336365,False
2864,223.690964,99.05860312414747,283703.8393475583,193.203415,72.68440542166047,61,12.5178623,8.410040455649446,False
2865,240.01445,99.10780237262071,283943.85379755835,231.519577,72.73984527212411,73,13.4331589,8.411793725612569,True
2866,238.23407,99.15634608079496,284182.08786755835,215.472763,72.78964740671165,68,13.02915,8.413404805959528,False
2867,240.01445,99.20547691578597,284422.10231755837,235.822754,72.84651280838354,73,13.7965355,8.415282423920479,True
2868,199.60582,99.24048400891157,284621.70813755837,190.948471,72.88769201277391,60,13.8439322,8.417175258570436,False
2869,72.41986,99.23113558646162,284694.1279975584,57.2331619,72.88223557146587,18,12.434886,8.418575645723251,False
2870,127.330643,99.24092635559526,284821.4586405584,112.171814,72.89592532004724,35,13.1426687,8.420221671177703,False
2871,181.481949,99.26957178319694,285002.9405895584,168.984634,72.92939404477032,54,13.4660358,8.421979182194361,False
2872,126.550774,99.27907080903844,285129.4913635584,114.354286,72.94381775366837,36,13.3978262,8.423711719456827,False
2873,240.01445,99.32805632215747,285369.5058135584,115.206474,72.95852804125846,36,7.024028,8.423224534034112,True
2874,3.939997,99.29486632239332,285373.4458105584,-1.31314135,72.93268542838747,1,14.1979036,8.425233816938068,False
2875,201.706268,99.33048767949857,285575.1520785584,189.214722,72.9731313541515,59,13.6745405,8.427059662740872,False
2876,240.01445,99.37940421716218,285815.1665285584,238.055481,73.03053133664311,74,13.89669,8.428961481356053,True
2877,240.01445,99.42828674958584,286055.18097855843,215.9791,73.0802180132727,66,12.7247267,8.430454621856104,True
2878,240.01445,99.47713531221628,286295.19542855845,213.474915,73.1290000483619,66,12.5209723,8.431875927512165,True
2879,84.15789,99.47181428223634,286379.3533185584,64.01367,73.12583390385049,20,11.9146643,8.433085649072597,False
2880,240.01445,99.52061380852723,286619.36776855844,232.19516,73.18106630874499,73,13.4889631,8.434841162076392,True
2881,155.276352,99.53996672008277,286774.64412055846,140.113983,73.20429883796791,44,13.2468834,8.436511430121488,False
2882,124.691086,99.54869368721668,286899.33520655846,114.574493,73.21865352018929,36,13.6427517,8.438317897945874,False
