EpisodeNumber,IterationTime,Reward,CheckpointCount,AverageVelocity,TimedOut
2221,103.414658,89.4289,29,12.8977222,False
2222,240.01445,137.739944,43,8.313176,True
2223,5.139996,-0.18870306,1,15.5407372,False
2224,240.01445,60.4820747,19,3.95835447,True
2225,240.01445,4.88120174,3,1.0859412,True
2226,5.61999559,0.682161331,1,17.33435,False
2227,162.257843,109.904,35,10.1261787,False
2228,79.69864,44.0619431,11,9.816921,False
2229,240.01445,58.87072,19,3.91738844,True
2230,240.01445,204.259781,65,11.8890533,True
2231,240.01445,200.671768,65,11.5854139,True
2232,54.22105,38.89338,13,11.6472931,False
2233,240.01445,202.0104,65,11.6905441,True
2234,240.01445,206.20401,66,11.9369907,True
2235,240.01445,198.315872,64,11.4696894,True
2236,103.354668,79.0216,26,11.45474,False
2237,67.20074,25.984478,3,8.696438,False
2238,49.36094,30.499012,10,10.5626259,False
2239,106.174194,79.86104,26,11.3292828,False
2240,46.1008644,29.2235756,10,10.7233353,False
2241,46.76088,29.5443115,10,10.7142172,False
2242,240.01445,57.3475571,18,3.52431464,True
2243,3.01999784,-2.442941,1,10.9475822,False
2244,152.995865,129.487335,42,12.3413019,False
2245,47.9809074,31.0870132,10,11.1032991,False
2246,49.48094,20.8197422,4,9.105635,False
2247,178.0012,125.505356,27,11.9030514,False
2248,184.822662,152.891235,50,11.8970842,False
2249,240.01445,203.632751,65,11.7848139,True
2250,30.64051,10.6021576,3,8.511933,False
2251,161.397659,133.950638,43,12.1092358,False
2252,80.9184341,34.46556,11,7.46181631,False
2253,31.04052,16.16395,6,9.996178,False
2254,51.60099,24.0762749,3,10.3113585,False
2255,240.01445,211.739883,66,12.3676758,True
2256,186.483017,148.406448,43,12.0786018,False
2257,236.693741,185.24469,60,11.31674,False
2258,50.34096,34.8771667,11,11.7026787,False
2259,240.01445,221.798157,71,12.80995,True
2260,182.502167,163.099609,53,12.8557119,False
2261,240.01445,85.06515,28,5.423039,True
2262,94.35618,56.1838455,2,12.9034452,False
2263,240.01445,222.647491,72,12.8088446,True
2264,240.01445,211.45491,66,12.3789663,True
2265,240.01445,219.2048,70,12.6984644,True
2266,240.01445,223.466339,72,12.9160643,True
2267,240.01445,223.0654,72,12.8807306,True
2268,240.01445,224.3516,73,12.9254475,True
2269,240.01445,220.6316,71,12.7666025,True
2270,240.01445,226.404541,73,13.0752735,True
2271,240.01445,225.1048,73,12.9732847,True
2272,123.911217,83.9715,27,10.4085083,False
2273,225.511353,208.834091,67,13.3353357,False
2274,240.01445,87.6523361,27,5.37539864,True
2275,7.179994,-1.22880077,1,8.396971,False
2276,240.01445,224.34761,73,12.90284,True
2277,57.0811157,35.31154,11,10.5889053,False
2278,31.0005188,10.4878387,3,8.336184,False
2279,52.6010132,21.2470684,3,9.161551,False
2280,84.57782,59.7217865,19,11.1379585,False
2281,240.01445,37.4464264,11,2.50885987,True
2282,65.10109,37.42699,2,12.7867584,False
2283,65.52102,34.8842049,11,9.22394848,False
2284,77.85895,40.53033,3,11.2320528,False
2285,47.4008942,33.2699242,10,12.1573191,False
2286,94.8560944,48.7676048,11,9.339625,False
2287,59.3011665,33.6903458,10,9.972499,False
2288,22.0203133,7.93238354,2,10.125247,False
2289,21.9403114,8.390233,2,10.5758991,False
2290,57.3811226,33.50189,10,10.2203531,False
2291,22.28032,9.940922,3,10.8985968,False
2292,52.54101,33.27265,10,11.0054741,False
2293,58.8811569,22.0396843,3,8.496982,False
2294,240.01445,213.776947,67,12.5277195,True
2295,240.01445,222.558548,72,12.83002,True
2296,237.934,210.6045,68,12.7192736,False
2297,240.01445,217.470825,69,12.7010412,True
2298,240.01445,207.238022,66,12.0756531,True
2299,240.01445,208.872742,66,12.2103643,True
2300,240.01445,212.972443,67,12.4813251,True
2301,106.79409,85.29954,27,12.1419573,False
2302,240.01445,208.557678,66,12.1826591,True
2303,240.01445,209.7929,66,12.2819462,True
2304,240.01445,213.718018,67,12.5134983,True
2305,240.01445,215.804443,68,12.6127481,True
2306,240.01445,216.414658,68,12.6489267,True
2307,240.01445,206.778015,66,12.0251236,True
2308,240.01445,207.3183,66,12.062829,True
2309,240.01445,204.024246,65,11.8659344,True
2310,240.01445,206.077316,66,11.9442339,True
2311,240.01445,209.578583,66,12.2462568,True
2312,240.01445,163.623642,52,9.726885,True
2313,4.41999674,-1.14378142,1,13.5426569,False
2314,240.01445,204.3271,65,11.9025249,True
2315,240.01445,207.0008,66,12.0421848,True
2316,240.01445,210.502991,66,12.3170967,True
2317,240.01445,209.225815,66,12.2477036,True
2318,240.01445,219.658417,70,12.7692738,True
2319,240.01445,211.972321,66,12.4637928,True
2320,155.5164,135.247711,43,12.8061428,False
2321,240.01445,221.693954,71,12.8409224,True
2322,138.232712,107.926117,34,11.7093029,False
2323,240.01445,216.228226,68,12.64057,True
2324,240.01445,212.112656,66,12.4807968,True
2325,78.99876,63.9464722,21,12.4268961,False
2326,240.01445,217.986633,69,12.7054968,True
2327,240.01445,215.5567,68,12.5911818,True
2328,240.01445,208.537949,66,12.180089,True
2329,240.01445,211.92421,66,12.4577694,True
2330,107.254013,86.86057,28,12.2124729,False
2331,240.01445,164.834,52,9.800867,True
2332,240.01445,227.006851,73,13.1324224,True
2333,240.01445,221.417435,71,12.806819,True
2334,240.01445,220.47406,70,12.8095694,True
2335,240.01445,209.6973,66,12.2370834,True
2336,157.676865,137.465714,44,12.7292156,False
2337,240.01445,218.880859,69,12.7515717,True
2338,237.213852,212.424057,68,12.8472261,False
2339,240.01445,222.020844,70,12.9135027,True
2340,131.931366,112.716682,36,12.6261644,False
2341,240.01445,219.187012,69,12.7543564,True
2342,240.01445,214.157059,66,12.5694389,True
2343,240.01445,225.94725,72,13.0535269,True
2344,187.163162,164.651642,53,12.6967926,False
2345,136.012238,112.086494,36,12.1438255,False
2346,161.197617,136.758591,44,12.3745251,False
2347,240.01445,204.101028,65,11.8379936,True
2348,240.01445,213.723328,66,12.5361843,True
2349,240.01445,6.51008034,4,1.10049391,True
2350,5.47999573,-2.35647321,1,6.574276,False
2351,240.01445,35.2815933,12,2.55481553,True
2352,1.699999,-3.51406646,1,6.27919,False
2353,3.13999772,-2.60906625,1,9.50167751,False
2354,240.01445,209.601883,66,12.1710472,True
2355,240.01445,210.207489,66,12.2145138,True
2356,240.01445,222.9938,71,12.8646574,True
2357,240.01445,222.678329,71,12.8427286,True
2358,129.47084,114.755768,37,12.9915314,False
2359,153.916061,140.051941,45,13.2096939,False
2360,240.01445,221.4582,70,12.8308172,True
2361,240.01445,224.946243,72,12.9475508,True
2362,240.01445,226.956879,73,13.02845,True
2363,240.01445,219.146942,69,12.7241135,True
2364,240.01445,220.352585,70,12.7243071,True
2365,240.01445,228.765656,73,13.1745033,True
2366,240.01445,229.4168,73,13.2380753,True
2367,152.915848,137.252411,44,13.06217,False
2368,230.8925,212.081879,68,13.1102886,False
2369,180.08165,161.992157,52,12.97632,False
2370,240.01445,136.238953,43,8.243869,True
2371,1.57999909,-4.67457151,0,4.63285446,False
2372,1.43999922,-4.683985,0,4.81325054,False
2373,66.3208847,60.50084,19,14.2703514,False
2374,150.715378,124.663666,35,12.8055544,False
2375,75.45935,52.2287178,13,11.9365282,False
2376,240.01445,229.334061,73,13.2332535,True
2377,240.01445,207.574554,62,12.335763,True
2378,78.7188,55.2054024,14,11.9575891,False
2379,74.79946,51.979763,13,11.9542189,False
2380,240.01445,33.28427,12,2.60312867,True
2381,1.719999,-4.58735657,0,5.33338261,False
2382,55.3210754,32.48714,2,13.0685949,False
2383,203.666687,190.0598,61,13.3582811,False
2384,124.631096,115.361816,37,13.5647449,False
